Gene,Gene Name,log_2 fold change,Biotype,Tractability,Drug,Interaction Type,PMID,Interaction Score,Pathways
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000206816"" target=""_blank"">ENSG00000206816</a>",Y_RNA,2.2,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000206816"" target=""_blank"">ENSG00000206816</a>",Y_RNA,2.2,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000206816"" target=""_blank"">ENSG00000206816</a>",Y_RNA,2.2,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000206816"" target=""_blank"">ENSG00000206816</a>",Y_RNA,2.2,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000206816"" target=""_blank"">ENSG00000206816</a>",Y_RNA,2.2,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000206987"" target=""_blank"">ENSG00000206987</a>",U8,1.8,snoRNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000206987"" target=""_blank"">ENSG00000206987</a>",U8,1.8,snoRNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000206999"" target=""_blank"">ENSG00000206999</a>",RNU6-622P,2.2,snRNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207044"" target=""_blank"">ENSG00000207044</a>",RNU6-1226P,1.5,snRNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207073"" target=""_blank"">ENSG00000207073</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207073"" target=""_blank"">ENSG00000207073</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207073"" target=""_blank"">ENSG00000207073</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207073"" target=""_blank"">ENSG00000207073</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207073"" target=""_blank"">ENSG00000207073</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207073"" target=""_blank"">ENSG00000207073</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207073"" target=""_blank"">ENSG00000207073</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207073"" target=""_blank"">ENSG00000207073</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207073"" target=""_blank"">ENSG00000207073</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207073"" target=""_blank"">ENSG00000207073</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207073"" target=""_blank"">ENSG00000207073</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207073"" target=""_blank"">ENSG00000207073</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207073"" target=""_blank"">ENSG00000207073</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207073"" target=""_blank"">ENSG00000207073</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207073"" target=""_blank"">ENSG00000207073</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207073"" target=""_blank"">ENSG00000207073</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207073"" target=""_blank"">ENSG00000207073</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207073"" target=""_blank"">ENSG00000207073</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207073"" target=""_blank"">ENSG00000207073</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207073"" target=""_blank"">ENSG00000207073</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207073"" target=""_blank"">ENSG00000207073</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207073"" target=""_blank"">ENSG00000207073</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207073"" target=""_blank"">ENSG00000207073</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207089"" target=""_blank"">ENSG00000207089</a>",RNU6-921P,1.6,snRNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207092"" target=""_blank"">ENSG00000207092</a>",Y_RNA,1.7,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207092"" target=""_blank"">ENSG00000207092</a>",Y_RNA,1.7,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207092"" target=""_blank"">ENSG00000207092</a>",Y_RNA,1.7,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207092"" target=""_blank"">ENSG00000207092</a>",Y_RNA,1.7,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207092"" target=""_blank"">ENSG00000207092</a>",Y_RNA,1.7,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207092"" target=""_blank"">ENSG00000207092</a>",Y_RNA,1.7,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207092"" target=""_blank"">ENSG00000207092</a>",Y_RNA,1.7,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207092"" target=""_blank"">ENSG00000207092</a>",Y_RNA,1.7,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207092"" target=""_blank"">ENSG00000207092</a>",Y_RNA,1.7,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207092"" target=""_blank"">ENSG00000207092</a>",Y_RNA,1.7,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207092"" target=""_blank"">ENSG00000207092</a>",Y_RNA,1.7,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207092"" target=""_blank"">ENSG00000207092</a>",Y_RNA,1.7,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207092"" target=""_blank"">ENSG00000207092</a>",Y_RNA,1.7,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207092"" target=""_blank"">ENSG00000207092</a>",Y_RNA,1.7,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207092"" target=""_blank"">ENSG00000207092</a>",Y_RNA,1.7,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207092"" target=""_blank"">ENSG00000207092</a>",Y_RNA,1.7,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207092"" target=""_blank"">ENSG00000207092</a>",Y_RNA,1.7,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207092"" target=""_blank"">ENSG00000207092</a>",Y_RNA,1.7,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207092"" target=""_blank"">ENSG00000207092</a>",Y_RNA,1.7,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207092"" target=""_blank"">ENSG00000207092</a>",Y_RNA,1.7,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207092"" target=""_blank"">ENSG00000207092</a>",Y_RNA,1.7,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207092"" target=""_blank"">ENSG00000207092</a>",Y_RNA,1.7,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207092"" target=""_blank"">ENSG00000207092</a>",Y_RNA,1.7,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207114"" target=""_blank"">ENSG00000207114</a>",RNU6-348P,2.3,snRNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207167"" target=""_blank"">ENSG00000207167</a>",RNU6-1340P,1.8,snRNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207240"" target=""_blank"">ENSG00000207240</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207240"" target=""_blank"">ENSG00000207240</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207240"" target=""_blank"">ENSG00000207240</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207240"" target=""_blank"">ENSG00000207240</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207240"" target=""_blank"">ENSG00000207240</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207240"" target=""_blank"">ENSG00000207240</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207240"" target=""_blank"">ENSG00000207240</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207240"" target=""_blank"">ENSG00000207240</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207240"" target=""_blank"">ENSG00000207240</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207240"" target=""_blank"">ENSG00000207240</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207240"" target=""_blank"">ENSG00000207240</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207240"" target=""_blank"">ENSG00000207240</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207240"" target=""_blank"">ENSG00000207240</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207240"" target=""_blank"">ENSG00000207240</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207240"" target=""_blank"">ENSG00000207240</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207240"" target=""_blank"">ENSG00000207240</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207240"" target=""_blank"">ENSG00000207240</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207240"" target=""_blank"">ENSG00000207240</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207240"" target=""_blank"">ENSG00000207240</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207240"" target=""_blank"">ENSG00000207240</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207240"" target=""_blank"">ENSG00000207240</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207240"" target=""_blank"">ENSG00000207240</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207240"" target=""_blank"">ENSG00000207240</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207247"" target=""_blank"">ENSG00000207247</a>",Y_RNA,2.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207247"" target=""_blank"">ENSG00000207247</a>",Y_RNA,2.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207247"" target=""_blank"">ENSG00000207247</a>",Y_RNA,2.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207247"" target=""_blank"">ENSG00000207247</a>",Y_RNA,2.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207247"" target=""_blank"">ENSG00000207247</a>",Y_RNA,2.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207247"" target=""_blank"">ENSG00000207247</a>",Y_RNA,2.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207247"" target=""_blank"">ENSG00000207247</a>",Y_RNA,2.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207247"" target=""_blank"">ENSG00000207247</a>",Y_RNA,2.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207247"" target=""_blank"">ENSG00000207247</a>",Y_RNA,2.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207247"" target=""_blank"">ENSG00000207247</a>",Y_RNA,2.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207247"" target=""_blank"">ENSG00000207247</a>",Y_RNA,2.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207247"" target=""_blank"">ENSG00000207247</a>",Y_RNA,2.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207247"" target=""_blank"">ENSG00000207247</a>",Y_RNA,2.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207247"" target=""_blank"">ENSG00000207247</a>",Y_RNA,2.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207247"" target=""_blank"">ENSG00000207247</a>",Y_RNA,2.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207247"" target=""_blank"">ENSG00000207247</a>",Y_RNA,2.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207247"" target=""_blank"">ENSG00000207247</a>",Y_RNA,2.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207247"" target=""_blank"">ENSG00000207247</a>",Y_RNA,2.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207247"" target=""_blank"">ENSG00000207247</a>",Y_RNA,2.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207247"" target=""_blank"">ENSG00000207247</a>",Y_RNA,2.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207247"" target=""_blank"">ENSG00000207247</a>",Y_RNA,2.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207247"" target=""_blank"">ENSG00000207247</a>",Y_RNA,2.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207247"" target=""_blank"">ENSG00000207247</a>",Y_RNA,2.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207291"" target=""_blank"">ENSG00000207291</a>",RNU6-30P,1.9,snRNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207306"" target=""_blank"">ENSG00000207306</a>",RNU6-1152P,1.7,snRNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207391"" target=""_blank"">ENSG00000207391</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207391"" target=""_blank"">ENSG00000207391</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207391"" target=""_blank"">ENSG00000207391</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207391"" target=""_blank"">ENSG00000207391</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207391"" target=""_blank"">ENSG00000207391</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207391"" target=""_blank"">ENSG00000207391</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207391"" target=""_blank"">ENSG00000207391</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207391"" target=""_blank"">ENSG00000207391</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207391"" target=""_blank"">ENSG00000207391</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207391"" target=""_blank"">ENSG00000207391</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207391"" target=""_blank"">ENSG00000207391</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207391"" target=""_blank"">ENSG00000207391</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207391"" target=""_blank"">ENSG00000207391</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207391"" target=""_blank"">ENSG00000207391</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207391"" target=""_blank"">ENSG00000207391</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207391"" target=""_blank"">ENSG00000207391</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207391"" target=""_blank"">ENSG00000207391</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207391"" target=""_blank"">ENSG00000207391</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207391"" target=""_blank"">ENSG00000207391</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207391"" target=""_blank"">ENSG00000207391</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207391"" target=""_blank"">ENSG00000207391</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207391"" target=""_blank"">ENSG00000207391</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207391"" target=""_blank"">ENSG00000207391</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207417"" target=""_blank"">ENSG00000207417</a>",Y_RNA,2.4,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207417"" target=""_blank"">ENSG00000207417</a>",Y_RNA,2.4,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207417"" target=""_blank"">ENSG00000207417</a>",Y_RNA,2.4,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207417"" target=""_blank"">ENSG00000207417</a>",Y_RNA,2.4,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207417"" target=""_blank"">ENSG00000207417</a>",Y_RNA,2.4,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207417"" target=""_blank"">ENSG00000207417</a>",Y_RNA,2.4,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207417"" target=""_blank"">ENSG00000207417</a>",Y_RNA,2.4,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207417"" target=""_blank"">ENSG00000207417</a>",Y_RNA,2.4,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207417"" target=""_blank"">ENSG00000207417</a>",Y_RNA,2.4,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207417"" target=""_blank"">ENSG00000207417</a>",Y_RNA,2.4,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207417"" target=""_blank"">ENSG00000207417</a>",Y_RNA,2.4,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207417"" target=""_blank"">ENSG00000207417</a>",Y_RNA,2.4,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207417"" target=""_blank"">ENSG00000207417</a>",Y_RNA,2.4,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207417"" target=""_blank"">ENSG00000207417</a>",Y_RNA,2.4,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207417"" target=""_blank"">ENSG00000207417</a>",Y_RNA,2.4,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207417"" target=""_blank"">ENSG00000207417</a>",Y_RNA,2.4,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207417"" target=""_blank"">ENSG00000207417</a>",Y_RNA,2.4,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207417"" target=""_blank"">ENSG00000207417</a>",Y_RNA,2.4,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207417"" target=""_blank"">ENSG00000207417</a>",Y_RNA,2.4,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207417"" target=""_blank"">ENSG00000207417</a>",Y_RNA,2.4,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207417"" target=""_blank"">ENSG00000207417</a>",Y_RNA,2.4,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207417"" target=""_blank"">ENSG00000207417</a>",Y_RNA,2.4,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207417"" target=""_blank"">ENSG00000207417</a>",Y_RNA,2.4,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207455"" target=""_blank"">ENSG00000207455</a>",RNU6-331P,2.2,snRNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207702"" target=""_blank"">ENSG00000207702</a>",MIR211,1.7,miRNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207713"" target=""_blank"">ENSG00000207713</a>",MIR200C,1.9,miRNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207744"" target=""_blank"">ENSG00000207744</a>",MIR10B,1.5,miRNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207814"" target=""_blank"">ENSG00000207814</a>",MIR147A,2.0,miRNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207978"" target=""_blank"">ENSG00000207978</a>",MIR154,1.6,miRNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000210107"" target=""_blank"">ENSG00000210107</a>",MT-TQ,1.5,Mt_tRNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000210151"" target=""_blank"">ENSG00000210151</a>",MT-TS1,1.5,Mt_tRNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000210196"" target=""_blank"">ENSG00000210196</a>",MT-TP,2.6,Mt_tRNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000212214"" target=""_blank"">ENSG00000212214</a>",SNORA48B,1.6,snoRNA,NaN,,,,,
